Subj,Age,Attrition,BusinessTravel,Department,EducationField,Gender,JobRole,MaritalStatus,OverTime,MonthlyIncome,DailyRate,HourlyRate,MonthlyRate,DistanceFromHome,PerformanceRating,Education,JobInvolvement,JobLevel,StockOptionLevel,NumCompaniesWorked,PercentSalaryHike,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction
359,36,No,Non-Travel,Sales,Medical,Female,Sales Executive,Single,No,6653,845,45,15276,1,3,5,3,2,0,4,15,7,6,3,1,0,0,0,4,4,2
360,36,No,Travel_Frequently,Sales,Medical,Male,Sales Executive,Married,No,9699,541,48,7246,3,3,4,2,3,1,4,11,16,2,3,13,9,1,12,1,4,1
361,57,No,Travel_Rarely,Research & Development,Medical,Male,Healthcare Representative,Married,No,6755,593,88,2967,1,3,4,3,2,0,2,11,15,2,3,3,2,1,2,4,3,3
362,40,No,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Married,Yes,2213,1171,46,22495,10,3,4,4,1,1,3,13,10,3,3,7,7,1,7,4,3,3
363,21,No,Non-Travel,Sales,Medical,Male,Sales Representative,Single,No,2610,895,39,2851,9,4,2,3,1,0,1,24,3,3,2,3,2,2,2,1,4,3
365,37,No,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Married,No,3452,921,98,17663,10,4,3,3,1,1,6,20,17,3,3,5,4,0,3,3,1,2
366,46,No,Non-Travel,Research & Development,Medical,Female,Manufacturing Director,Married,No,5258,1144,30,16044,7,3,4,3,2,0,2,14,7,2,4,1,0,0,0,3,3,3
368,50,No,Travel_Rarely,Research & Development,Technical Degree,Male,Healthcare Representative,Single,No,10496,1046,100,2755,10,3,3,2,3,0,6,15,20,2,3,4,3,1,3,4,4,4
370,31,No,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Single,Yes,2657,408,42,7551,9,3,4,2,1,0,0,16,3,5,3,2,2,2,2,3,2,4
372,29,No,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Single,No,2201,1283,54,18168,23,3,3,3,1,0,9,16,6,4,3,3,2,1,2,4,4,4
373,35,No,Travel_Rarely,Research & Development,Life Sciences,Male,Healthcare Representative,Single,No,6540,755,97,19394,9,3,4,2,2,0,9,19,10,5,3,1,1,0,0,3,2,3
374,27,No,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Divorced,No,3816,1469,82,17881,1,3,2,3,1,1,1,11,5,2,3,5,2,0,4,4,2,2
375,28,No,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Single,No,5253,304,92,20750,9,3,4,3,2,0,1,16,7,1,3,7,5,0,7,2,4,4
376,49,No,Travel_Rarely,Research & Development,Other,Male,Healthcare Representative,Single,No,10965,1261,31,12066,7,4,3,2,3,0,8,24,26,2,3,5,2,0,0,2,3,3
377,51,No,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Married,No,4936,1178,87,14862,14,3,2,3,2,1,4,11,18,2,2,7,7,0,7,3,4,3
378,36,No,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Married,No,2543,329,96,11868,2,3,3,3,1,1,4,13,6,3,3,2,2,2,2,4,3,2
380,55,No,Travel_Rarely,Research & Development,Life Sciences,Female,Manager,Single,Yes,16659,1311,97,23258,2,3,3,3,4,0,2,13,30,2,3,5,4,1,2,3,4,3
381,24,No,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Divorced,Yes,4260,1371,77,5915,10,3,4,3,2,1,1,12,5,2,4,5,2,0,3,4,3,4
382,30,No,Travel_Rarely,Sales,Technical Degree,Male,Sales Representative,Married,No,2476,202,72,17434,2,3,1,3,1,1,1,18,1,3,3,1,0,0,0,3,2,1
384,22,No,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Married,No,2244,253,43,24440,11,3,3,3,1,1,1,13,2,1,3,2,1,1,2,1,2,4
385,36,No,Travel_Rarely,Sales,Medical,Male,Sales Executive,Married,No,7596,164,61,3809,2,3,2,2,3,2,1,13,10,2,3,10,9,9,0,2,3,2
387,37,No,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Divorced,No,3034,1107,95,26914,14,3,3,3,1,1,1,12,18,2,2,18,7,12,17,4,1,3
388,40,No,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Divorced,No,5715,759,46,22553,2,3,2,3,2,2,7,12,8,5,3,5,4,1,3,4,2,3
389,42,No,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Divorced,No,2576,201,95,20490,1,3,4,3,1,1,3,16,8,5,3,5,2,1,2,2,1,2
390,37,No,Travel_Rarely,Research & Development,Life Sciences,Male,Manufacturing Director,Single,Yes,4197,1305,49,21123,10,3,4,3,2,0,2,12,18,2,2,1,0,0,1,3,2,4
391,43,No,Travel_Rarely,Research & Development,Life Sciences,Male,Research Director,Divorced,No,14336,982,59,4345,12,3,3,2,4,1,1,11,25,3,3,25,10,3,9,1,2,3
392,40,No,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Married,No,3448,555,78,13436,2,4,3,2,2,1,6,22,20,3,3,1,0,0,0,2,3,2
393,54,No,Travel_Rarely,Research & Development,Medical,Male,Research Director,Married,No,19406,821,86,8509,5,3,2,3,5,1,4,11,24,4,2,4,2,1,2,1,1,3
394,34,No,Non-Travel,Sales,Marketing,Female,Sales Executive,Married,No,6538,1381,72,12740,4,3,4,3,2,1,9,15,6,3,3,3,2,1,2,3,3,1
395,31,No,Travel_Rarely,Research & Development,Medical,Female,Manufacturing Director,Married,No,4306,480,31,4156,7,3,2,3,2,1,1,12,13,5,1,13,10,3,12,2,1,2
396,43,No,Travel_Frequently,Research & Development,Medical,Male,Laboratory Technician,Married,No,2258,313,61,15238,21,4,3,3,1,1,7,20,8,1,3,3,2,1,2,4,4,1
397,43,No,Travel_Rarely,Research & Development,Other,Female,Healthcare Representative,Divorced,Yes,4522,1473,74,2227,8,3,4,3,2,0,4,14,8,3,3,5,2,0,2,3,3,4
398,25,No,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Single,Yes,4487,891,99,12090,4,3,2,2,2,0,1,11,5,3,3,5,4,1,3,2,4,2
399,37,No,Non-Travel,Research & Development,Medical,Female,Research Scientist,Married,Yes,4449,1063,72,23866,25,3,5,3,2,2,3,15,15,2,3,13,11,10,7,2,3,1
400,31,No,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Married,No,2218,329,98,16193,1,3,2,2,1,1,1,12,4,3,3,4,2,3,2,4,1,3
401,39,No,Travel_Frequently,Research & Development,Life Sciences,Male,Manager,Divorced,Yes,19197,1218,52,8213,1,3,1,3,5,1,1,14,21,3,3,21,8,1,6,2,3,3
402,56,No,Travel_Frequently,Sales,Life Sciences,Female,Sales Executive,Married,No,13212,906,86,18256,6,3,3,4,4,3,9,11,36,0,2,7,7,7,7,3,1,4
403,30,No,Travel_Rarely,Sales,Technical Degree,Female,Sales Executive,Single,No,6577,1082,83,19558,12,3,3,3,2,0,0,11,6,6,3,5,4,4,4,2,3,2
404,41,No,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married,No,8392,645,49,19566,1,3,3,4,3,1,1,16,10,2,3,10,7,0,7,2,1,3
405,28,No,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Divorced,No,4558,1300,79,13535,17,3,2,3,2,1,1,12,10,2,3,10,0,1,8,3,1,4
407,52,No,Travel_Rarely,Research & Development,Medical,Male,Manufacturing Director,Married,Yes,7969,319,39,19609,3,3,3,2,3,0,2,14,28,4,3,5,4,0,4,4,3,3
408,45,No,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married,No,2654,192,69,9655,10,4,2,3,1,2,3,21,8,3,2,2,2,0,2,1,4,4
409,52,No,Travel_Rarely,Research & Development,Life Sciences,Female,Manager,Married,No,16555,1490,30,10310,4,3,2,3,4,0,2,13,31,2,1,5,2,1,4,4,4,4
410,42,No,Travel_Frequently,Research & Development,Life Sciences,Female,Research Scientist,Divorced,No,4556,532,92,12932,29,3,2,3,2,1,2,11,19,3,3,5,4,0,2,1,3,2
411,30,No,Travel_Rarely,Research & Development,Life Sciences,Female,Manufacturing Director,Single,No,6091,317,43,24793,2,4,3,1,2,0,2,20,11,2,3,5,4,0,2,3,4,3
412,60,No,Travel_Rarely,Research & Development,Life Sciences,Female,Manager,Married,No,19566,422,41,3854,7,3,3,3,5,0,5,11,33,5,1,29,8,11,10,1,1,4
413,46,No,Travel_Rarely,Research & Development,Medical,Female,Manufacturing Director,Divorced,No,4810,1485,87,26314,18,3,3,3,2,1,2,14,19,5,2,10,7,0,8,3,3,3
414,42,No,Travel_Frequently,Research & Development,Technical Degree,Female,Healthcare Representative,Married,No,4523,1368,88,4386,28,3,4,2,2,3,0,11,7,4,4,6,5,0,4,4,4,4
417,38,No,Travel_Frequently,Research & Development,Life Sciences,Male,Laboratory Technician,Married,Yes,1702,1490,42,12106,2,4,2,3,1,1,1,23,1,3,3,1,0,0,0,4,4,3
418,40,No,Travel_Rarely,Sales,Life Sciences,Female,Manager,Married,No,18041,1398,79,13022,2,3,4,3,5,0,0,14,21,2,3,20,15,1,12,3,3,4
419,26,No,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Divorced,No,2886,1349,90,3032,23,4,3,3,1,2,1,22,3,3,1,3,2,0,2,1,4,2
420,30,No,Non-Travel,Research & Development,Life Sciences,Male,Laboratory Technician,Married,No,2097,1400,53,16734,3,3,3,3,1,1,4,15,9,3,1,5,3,1,4,3,4,3
421,29,No,Travel_Rarely,Research & Development,Medical,Male,Research Director,Married,No,11935,986,93,21526,3,3,4,2,3,0,1,18,10,2,3,10,2,0,7,2,3,3
424,30,No,Non-Travel,Sales,Other,Female,Sales Executive,Married,No,8412,1398,69,2890,22,3,4,3,3,0,0,11,10,3,3,9,8,7,8,3,1,3
425,57,No,Travel_Rarely,Sales,Marketing,Male,Manager,Divorced,No,14118,210,56,22102,29,3,3,2,4,1,3,12,32,3,2,1,0,0,0,1,4,3
426,50,No,Travel_Rarely,Research & Development,Life Sciences,Male,Manager,Married,No,17046,1099,88,9314,29,3,4,2,4,1,0,15,28,2,3,27,10,15,7,2,3,2
427,30,No,Non-Travel,Research & Development,Medical,Female,Laboratory Technician,Single,No,2564,1116,49,7181,2,3,3,3,1,0,0,14,12,2,2,11,7,6,7,3,4,3
428,60,No,Travel_Frequently,Sales,Marketing,Female,Sales Executive,Married,No,10266,1499,80,2845,28,3,3,2,3,0,4,19,22,5,4,18,13,13,11,3,1,4
429,47,No,Travel_Rarely,Research & Development,Medical,Female,Manufacturing Director,Divorced,No,5070,983,65,7389,2,3,2,3,2,3,5,13,20,2,3,5,0,0,4,1,4,3
430,46,No,Travel_Rarely,Research & Development,Life Sciences,Male,Research Director,Married,No,17861,1009,51,2288,2,3,3,3,4,0,6,13,26,2,1,3,2,0,1,1,3,3
431,35,No,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single,No,4230,144,46,19225,22,3,3,1,1,0,0,15,6,2,3,5,4,4,3,4,3,3
432,54,No,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Single,No,3780,548,42,23428,8,3,4,3,2,0,7,11,19,3,3,1,0,0,0,3,3,3
433,34,No,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced,No,2768,1303,62,8416,2,3,4,2,1,1,3,12,14,3,3,7,3,5,7,4,3,3
434,46,No,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Married,Yes,9071,1125,94,11563,10,3,3,2,3,1,2,19,15,3,3,3,2,1,2,3,4,3
435,31,No,Travel_Rarely,Research & Development,Life Sciences,Male,Manufacturing Director,Divorced,No,10648,1274,33,14394,9,4,1,3,3,1,1,25,13,6,4,13,8,0,8,3,2,4
438,30,No,Travel_Rarely,Sales,Marketing,Male,Sales Representative,Single,No,2983,413,57,18398,7,3,1,3,1,0,0,14,4,3,3,3,2,1,2,4,2,1
439,35,No,Travel_Rarely,Research & Development,Life Sciences,Male,Healthcare Representative,Married,Yes,7632,1276,72,14295,16,3,3,3,3,0,4,12,10,2,3,8,7,0,0,4,3,3
442,42,No,Travel_Frequently,Research & Development,Other,Male,Laboratory Technician,Married,No,2093,1474,97,9260,5,3,2,3,1,1,4,17,8,4,3,2,2,2,0,2,3,4
443,36,No,Non-Travel,Sales,Medical,Male,Sales Executive,Single,No,9980,635,32,15318,10,3,4,3,3,0,1,14,10,3,2,10,3,9,7,2,4,4
445,48,No,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Married,No,4051,163,37,19658,2,3,5,3,2,1,2,14,14,2,3,9,7,6,7,2,4,1
446,55,No,Travel_Rarely,Sales,Life Sciences,Female,Manager,Single,No,16835,1117,83,9873,18,4,5,3,4,0,3,23,37,2,3,10,9,7,7,1,2,4
447,41,No,Non-Travel,Sales,Life Sciences,Male,Sales Executive,Single,No,6230,267,56,13430,10,3,2,3,2,0,7,14,16,3,3,14,3,1,10,4,4,4
448,35,No,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married,No,4717,619,85,18659,1,3,3,3,2,0,9,11,15,2,3,11,9,6,9,2,3,3
449,40,No,Travel_Rarely,Research & Development,Life Sciences,Female,Manufacturing Director,Single,No,13237,302,75,20364,6,3,3,3,4,0,7,15,22,3,3,20,6,5,13,2,3,3
450,39,No,Travel_Frequently,Research & Development,Life Sciences,Female,Laboratory Technician,Married,No,3755,443,48,17872,8,3,1,3,1,1,1,11,8,3,3,8,3,0,7,3,3,1
451,31,No,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Single,Yes,6582,828,77,8346,2,3,1,3,2,0,4,13,10,2,4,6,5,0,5,2,4,3
452,42,No,Travel_Rarely,Research & Development,Medical,Male,Manufacturing Director,Married,Yes,7406,319,56,6950,24,4,3,3,3,1,1,21,10,5,2,10,9,5,8,4,1,4
453,45,No,Travel_Rarely,Sales,Other,Male,Sales Executive,Married,No,4805,561,61,16177,2,3,3,3,2,1,0,19,9,3,4,8,7,3,7,4,2,2
455,29,No,Travel_Rarely,Research & Development,Technical Degree,Male,Manufacturing Director,Divorced,No,4262,232,34,22645,19,3,3,3,2,2,4,12,8,2,4,3,2,1,2,4,4,2
456,33,No,Travel_Rarely,Research & Development,Medical,Female,Research Director,Divorced,No,16184,922,95,22578,1,3,5,4,4,1,4,19,10,2,3,6,1,0,5,1,3,3
457,31,No,Travel_Rarely,Sales,Life Sciences,Male,Manager,Divorced,No,11557,688,44,25291,7,4,3,2,3,1,9,21,10,3,2,5,4,0,1,3,4,3
459,40,No,Non-Travel,Sales,Other,Male,Sales Executive,Divorced,No,10932,1094,58,11373,28,3,3,1,3,1,3,15,20,2,3,1,0,0,1,3,1,3
460,41,No,Non-Travel,Research & Development,Other,Female,Healthcare Representative,Single,Yes,6811,509,62,2112,2,3,4,2,2,0,2,17,10,3,3,8,7,0,7,1,3,1
461,26,No,Travel_Rarely,Sales,Medical,Male,Sales Executive,Divorced,No,4306,775,45,4267,29,3,2,3,2,2,5,12,8,5,3,0,0,0,0,1,3,1
462,35,No,Travel_Rarely,Sales,Medical,Female,Sales Executive,Single,No,4859,195,80,6698,1,3,3,3,2,0,1,16,5,3,3,5,4,0,3,1,3,4
463,34,No,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Single,No,5337,258,74,19921,21,3,4,4,2,0,1,12,10,3,3,10,7,5,7,4,4,4
465,37,No,Travel_Rarely,Research & Development,Technical Degree,Female,Manufacturing Director,Single,No,7491,799,59,23848,1,3,3,3,3,0,4,17,12,3,4,6,5,1,2,2,4,4
466,46,No,Travel_Frequently,Research & Development,Medical,Female,Healthcare Representative,Married,No,10527,1034,86,8984,18,3,1,3,3,0,5,11,28,3,2,2,2,1,2,1,3,4
467,41,No,Travel_Rarely,Sales,Life Sciences,Female,Manager,Married,No,16595,1276,91,5626,2,3,5,3,4,1,7,16,22,2,3,18,16,11,8,2,1,2
468,37,No,Non-Travel,Sales,Medical,Male,Sales Executive,Divorced,No,8834,142,69,24666,9,3,4,3,3,1,1,13,9,6,3,9,5,7,7,1,2,4
469,52,No,Travel_Rarely,Research & Development,Technical Degree,Male,Research Scientist,Divorced,Yes,5577,956,78,22087,6,3,2,3,2,2,3,12,18,3,3,10,9,6,9,4,1,2
471,24,No,Travel_Frequently,Sales,Medical,Male,Sales Representative,Married,No,2400,535,38,5530,24,3,3,3,1,2,0,13,3,3,3,2,2,2,1,4,4,3
472,38,No,Travel_Rarely,Research & Development,Medical,Female,Healthcare Representative,Married,No,9824,1495,76,22174,10,3,3,3,2,1,3,19,18,4,3,1,0,0,0,3,3,3
473,37,No,Travel_Rarely,Research & Development,Life Sciences,Female,Manufacturing Director,Married,No,6447,446,65,15701,1,3,4,3,2,1,6,12,8,2,2,6,5,4,3,2,2,2
474,49,No,Travel_Rarely,Research & Development,Life Sciences,Male,Research Director,Divorced,Yes,19502,1245,58,2125,18,3,4,2,5,1,1,17,31,5,3,31,9,0,9,4,3,3
475,24,No,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married,Yes,2725,691,89,21630,23,3,3,4,1,2,1,11,6,3,3,6,5,1,4,2,4,2
476,26,No,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married,No,6272,703,66,7428,28,4,2,3,2,2,1,20,6,5,4,5,3,1,4,1,2,4
477,24,No,Travel_Rarely,Research & Development,Other,Male,Laboratory Technician,Married,No,2127,823,94,9100,17,4,2,2,1,1,1,21,1,2,3,1,0,0,0,4,2,4
478,50,No,Travel_Frequently,Human Resources,Medical,Male,Manager,Married,No,18200,1246,99,7999,3,3,3,3,5,1,1,11,32,2,3,32,5,10,7,1,2,3
479,25,No,Travel_Rarely,Sales,Medical,Male,Sales Representative,Married,No,2096,622,40,26376,13,3,1,3,1,0,1,11,7,1,3,7,4,0,6,2,3,3
482,34,No,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married,Yes,3622,254,83,22794,1,3,2,2,1,1,1,13,6,3,3,6,5,1,3,2,4,4
484,35,No,Travel_Rarely,Research & Development,Other,Male,Laboratory Technician,Single,No,3681,538,54,14004,25,3,2,2,2,0,4,14,9,3,3,3,2,0,2,1,4,4
485,31,No,Travel_Rarely,Sales,Medical,Male,Sales Executive,Divorced,No,5460,525,66,6219,6,4,4,4,2,2,4,22,13,4,4,7,7,5,7,1,4,4
486,27,No,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Divorced,No,2187,798,66,5013,6,3,4,2,1,2,0,12,6,5,2,5,3,0,3,1,3,3
487,37,No,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married,Yes,9602,558,75,3010,2,3,3,3,2,1,4,11,17,3,2,3,0,1,0,4,3,3
488,20,No,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Single,No,2836,959,83,11757,1,3,3,2,1,0,1,13,1,0,4,1,0,0,0,4,2,4
489,42,No,Travel_Rarely,Research & Development,Life Sciences,Female,Healthcare Representative,Married,No,4089,622,81,5718,2,3,4,3,2,2,1,13,10,4,3,10,2,2,2,3,4,2
490,43,No,Travel_Rarely,Research & Development,Other,Male,Research Director,Divorced,Yes,16627,782,50,2671,6,3,4,2,4,1,4,14,21,3,2,1,0,0,0,2,4,3
491,38,No,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Single,No,2619,362,43,14561,1,3,1,3,1,0,3,17,8,3,2,0,0,0,0,3,1,4
492,43,No,Travel_Frequently,Research & Development,Medical,Male,Laboratory Technician,Divorced,Yes,5679,1001,72,19627,9,3,5,3,2,1,3,13,10,3,3,8,7,4,7,4,3,2
493,48,No,Travel_Rarely,Research & Development,Life Sciences,Female,Manager,Married,No,15402,1236,40,17997,1,3,4,2,4,1,7,11,21,3,1,3,2,0,2,4,1,1
494,44,No,Travel_Rarely,Human Resources,Life Sciences,Female,Human Resources,Single,No,5985,1112,50,26894,1,3,4,2,2,0,4,11,10,1,4,2,2,0,2,1,3,2
495,34,No,Travel_Rarely,Sales,Technical Degree,Female,Sales Representative,Divorced,Yes,2579,204,31,2912,14,3,3,3,1,2,1,18,8,3,3,8,2,0,6,3,3,4
497,21,No,Travel_Rarely,Sales,Technical Degree,Male,Sales Representative,Single,No,3447,1343,49,24444,22,3,1,3,1,0,1,11,3,2,3,3,2,1,2,3,3,3
498,44,No,Travel_Rarely,Research & Development,Other,Male,Manager,Married,Yes,19513,1315,35,9358,3,3,4,3,5,1,4,12,26,2,4,2,2,0,1,4,4,1
499,22,No,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married,No,2773,604,69,12145,6,4,1,3,1,0,0,20,3,3,3,2,2,2,2,1,3,4
500,33,No,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Divorced,No,7104,1216,39,20431,8,3,4,3,2,0,0,12,6,3,3,5,0,1,2,3,3,4
501,32,No,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Married,Yes,6322,646,92,18089,9,3,4,3,2,1,1,12,6,2,2,6,4,0,5,1,4,4
502,30,No,Travel_Frequently,Research & Development,Medical,Female,Research Scientist,Divorced,No,2083,160,71,22653,3,4,3,3,1,1,1,20,1,2,3,1,0,0,0,3,3,3
503,53,No,Travel_Rarely,Sales,Medical,Female,Sales Executive,Single,No,8381,238,34,7507,1,4,1,3,2,0,7,20,18,2,4,14,7,8,10,4,1,4
504,34,No,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married,No,2691,1397,42,7660,1,3,5,3,1,1,1,12,10,4,2,10,9,8,8,2,4,4
506,26,No,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Married,Yes,2659,991,71,17759,6,3,3,3,1,1,1,13,3,2,3,3,2,0,2,3,4,3
507,37,No,Travel_Rarely,Research & Development,Other,Male,Manufacturing Director,Married,No,9434,482,36,9606,3,3,3,3,3,1,1,15,10,2,3,10,7,7,8,3,3,3
508,29,No,Travel_Rarely,Sales,Medical,Female,Sales Executive,Married,No,5561,1176,62,3487,3,3,2,3,2,1,1,14,6,5,2,6,0,1,2,2,3,1
509,35,No,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Single,No,6646,1017,82,19368,6,3,4,1,2,0,1,13,17,3,3,17,11,11,8,2,4,2
510,33,No,Travel_Frequently,Research & Development,Life Sciences,Male,Healthcare Representative,Divorced,No,7725,1296,30,5335,6,4,3,3,2,1,3,23,15,2,1,13,11,4,7,3,4,3
511,54,No,Travel_Rarely,Human Resources,Medical,Male,Human Resources,Married,No,10725,397,88,6729,19,3,4,3,3,1,2,15,16,1,4,9,7,7,1,3,2,3
512,36,No,Travel_Rarely,Research & Development,Medical,Male,Manufacturing Director,Divorced,Yes,8847,913,48,13934,9,3,2,2,2,1,2,11,13,2,3,3,2,0,2,2,2,3
513,27,No,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Single,No,2045,1115,54,15174,3,3,4,2,1,0,0,13,5,0,3,4,2,1,1,1,4,4
516,35,No,Non-Travel,Research & Development,Life Sciences,Male,Laboratory Technician,Married,No,1281,727,41,16900,3,3,3,2,1,2,1,18,1,3,3,1,0,0,0,3,3,3
517,23,No,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married,No,2819,885,58,8544,4,3,3,4,1,1,2,16,5,3,4,3,2,0,2,1,1,1
518,25,No,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Married,No,4851,810,57,15678,8,4,3,4,2,1,0,22,4,4,3,3,2,1,2,4,2,3
519,38,No,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Single,No,4028,243,46,7791,7,4,4,2,2,0,0,20,8,2,3,7,7,0,5,4,4,1
520,29,No,Travel_Frequently,Research & Development,Life Sciences,Male,Research Scientist,Divorced,No,2720,806,76,18959,1,3,4,1,1,1,1,18,10,5,3,10,7,2,8,2,4,4
521,48,No,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married,No,8120,817,56,18597,2,3,1,4,2,0,3,12,12,3,3,2,2,2,2,2,2,4
522,27,No,Travel_Frequently,Sales,Medical,Female,Sales Executive,Divorced,Yes,4647,1410,71,16673,3,4,1,4,2,2,1,20,6,3,3,6,5,0,4,4,4,2
523,37,No,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Single,No,4680,1225,80,15232,10,3,2,4,1,0,3,17,4,2,3,1,0,0,0,4,4,1
524,50,No,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Married,Yes,3221,1207,74,3297,28,3,1,4,1,3,1,11,20,3,3,20,8,3,8,4,3,3
525,34,No,Travel_Rarely,Research & Development,Medical,Female,Healthcare Representative,Single,No,8621,1442,46,17654,9,3,3,2,3,0,1,14,9,3,4,8,7,7,7,4,2,2
527,39,No,Travel_Rarely,Research & Development,Technical Degree,Female,Healthcare Representative,Single,No,4553,408,80,20978,2,3,4,2,2,0,1,11,20,4,3,20,7,11,10,4,3,1
528,32,No,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Single,No,5396,929,55,21703,10,3,3,3,2,0,1,12,10,2,2,10,7,0,8,4,4,4
530,38,No,Travel_Rarely,Research & Development,Life Sciences,Female,Healthcare Representative,Single,No,7625,827,33,19383,1,3,4,4,2,0,0,13,10,4,2,9,7,1,8,2,4,3
531,27,No,Travel_Rarely,Research & Development,Life Sciences,Female,Manufacturing Director,Married,No,7412,608,68,6009,1,3,2,3,3,0,1,11,9,3,3,9,7,0,7,3,1,4
532,32,No,Travel_Rarely,Research & Development,Life Sciences,Female,Research Director,Single,No,11159,1018,39,19373,3,3,2,3,3,0,3,15,10,6,3,7,7,7,7,3,4,4
533,47,No,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Single,No,4960,703,42,11825,14,3,4,3,2,0,2,12,20,2,3,7,7,1,7,4,1,4
534,40,No,Travel_Frequently,Sales,Life Sciences,Male,Sales Executive,Married,Yes,10475,580,48,23772,5,4,4,2,3,1,5,21,20,2,3,18,13,1,12,4,1,3
535,53,No,Travel_Rarely,Research & Development,Life Sciences,Male,Research Director,Married,No,14814,970,59,13514,7,3,3,4,4,0,3,19,32,3,3,5,1,1,3,3,3,3
536,41,No,Travel_Rarely,Human Resources,Human Resources,Male,Manager,Divorced,No,19141,427,73,8861,10,3,4,2,5,3,3,15,23,2,2,21,6,12,6,2,4,2
537,60,No,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Single,No,5405,1179,84,11924,16,3,4,3,2,0,8,14,10,1,3,2,2,2,2,1,1,4
538,27,No,Travel_Frequently,Research & Development,Life Sciences,Male,Manufacturing Director,Divorced,No,8793,294,32,4809,10,4,2,3,3,2,1,21,9,4,2,9,7,1,7,4,1,3
539,41,No,Travel_Rarely,Human Resources,Human Resources,Male,Manager,Married,No,19189,314,59,19562,1,3,3,2,5,1,1,12,22,3,3,22,7,2,10,4,3,2
540,50,No,Travel_Rarely,Sales,Marketing,Male,Sales Representative,Married,No,3875,316,54,9983,8,3,4,3,1,1,7,15,4,2,3,2,2,2,2,4,2,4
542,36,No,Non-Travel,Research & Development,Life Sciences,Female,Research Director,Married,No,11713,427,63,20335,8,3,3,4,3,1,9,14,10,2,3,8,7,0,5,1,1,1
543,38,No,Travel_Rarely,Research & Development,Life Sciences,Female,Manufacturing Director,Single,Yes,7861,168,81,15397,1,3,3,3,3,0,4,14,10,4,4,1,0,0,0,3,3,4
544,44,No,Non-Travel,Research & Development,Medical,Male,Laboratory Technician,Single,No,3708,381,49,2104,24,3,3,1,1,0,2,14,9,5,3,5,2,1,4,1,3,3
